7.50GHz(线性值),,7.50GHz(对数值)
0.0, 0.96,0.0, -0.34
2.0, 1.00,2.0, 0.00
4.0, 1.00,4.0, -0.01
6.0, 0.99,6.0, -0.06
8.0, 0.99,8.0, -0.05
10.0, 0.99,10.0, -0.07
12.0, 0.99,12.0, -0.11
14.0, 0.98,14.0, -0.18
16.0, 0.98,16.0, -0.22
18.0, 0.97,18.0, -0.28
20.0, 0.96,20.0, -0.39
22.0, 0.95,22.0, -0.48
24.0, 0.94,24.0, -0.57
26.0, 0.93,26.0, -0.67
28.0, 0.91,28.0, -0.81
30.0, 0.89,30.0, -0.96
32.0, 0.88,32.0, -1.09
34.0, 0.86,34.0, -1.27
36.0, 0.85,36.0, -1.39
38.0, 0.82,38.0, -1.71
40.0, 0.80,40.0, -1.89
42.0, 0.78,42.0, -2.14
44.0, 0.76,44.0, -2.42
46.0, 0.74,46.0, -2.67
48.0, 0.70,48.0, -3.10
50.0, 0.67,50.0, -3.45
52.0, 0.65,52.0, -3.70
54.0, 0.62,54.0, -4.11
56.0, 0.61,56.0, -4.34
58.0, 0.57,58.0, -4.89
60.0, 0.55,60.0, -5.26
62.0, 0.52,62.0, -5.74
64.0, 0.49,64.0, -6.21
66.0, 0.46,66.0, -6.76
68.0, 0.42,68.0, -7.47
70.0, 0.39,70.0, -8.26
72.0, 0.35,72.0, -9.07
74.0, 0.32,74.0, -9.95
76.0, 0.29,76.0, -10.86
78.0, 0.25,78.0, -12.05
80.0, 0.21,80.0, -13.44
82.0, 0.18,82.0, -15.06
84.0, 0.14,84.0, -16.83
86.0, 0.10,86.0, -19.85
88.0, 0.07,88.0, -23.60
90.0, 0.04,90.0, -28.14
