6.00GHz,,8.00GHz,,7.00GHz
-135.0, -20.58,-135.0, -26.17,-135.0, -19.25
-133.0, -17.22,-133.0, -24.61,-133.0, -18.57
-131.0, -15.58,-131.0, -27.77,-131.0, -18.78
-129.0, -14.90,-129.0, -39.86,-129.0, -18.78
-127.0, -15.63,-127.0, -27.42,-127.0, -19.15
-125.0, -17.20,-125.0, -22.88,-125.0, -19.64
-123.0, -18.07,-123.0, -22.21,-123.0, -21.36
-121.0, -17.41,-121.0, -21.37,-121.0, -23.54
-119.0, -18.50,-119.0, -21.60,-119.0, -24.56
-117.0, -17.82,-117.0, -19.97,-117.0, -23.75
-115.0, -17.22,-115.0, -23.81,-115.0, -22.45
-113.0, -16.78,-113.0, -26.90,-113.0, -20.31
-111.0, -14.02,-111.0, -27.52,-111.0, -18.95
-109.0, -15.93,-109.0, -28.21,-109.0, -18.39
-107.0, -16.87,-107.0, -28.25,-107.0, -18.28
-105.0, -16.02,-105.0, -24.02,-105.0, -18.59
-103.0, -14.68,-103.0, -21.76,-103.0, -19.99
-101.0, -15.73,-101.0, -21.65,-101.0, -23.05
-99.0, -14.91,-99.0, -20.65,-99.0, -24.03
-97.0, -16.48,-97.0, -22.87,-97.0, -22.34
-95.0, -15.34,-95.0, -23.20,-95.0, -19.99
-93.0, -15.81,-93.0, -22.55,-93.0, -18.85
-91.0, -16.06,-91.0, -24.09,-91.0, -18.23
-89.0, -14.14,-89.0, -27.91,-89.0, -18.33
-87.0, -13.97,-87.0, -21.51,-87.0, -18.87
-85.0, -14.57,-85.0, -20.74,-85.0, -19.03
-83.0, -15.02,-83.0, -22.02,-83.0, -18.70
-81.0, -13.69,-81.0, -22.09,-81.0, -17.60
-79.0, -13.67,-79.0, -21.36,-79.0, -16.46
-77.0, -13.08,-77.0, -22.46,-77.0, -15.96
-75.0, -13.37,-75.0, -21.52,-75.0, -15.12
-73.0, -12.62,-73.0, -19.59,-73.0, -15.00
-71.0, -11.30,-71.0, -19.46,-71.0, -14.97
-69.0, -12.23,-69.0, -19.59,-69.0, -15.06
-67.0, -10.95,-67.0, -18.88,-67.0, -15.07
-65.0, -9.50,-65.0, -17.28,-65.0, -14.91
-63.0, -9.54,-63.0, -16.59,-63.0, -14.52
-61.0, -8.40,-61.0, -15.12,-61.0, -13.81
-59.0, -8.41,-59.0, -15.90,-59.0, -13.37
-57.0, -8.08,-57.0, -13.96,-57.0, -12.50
-55.0, -7.52,-55.0, -12.10,-55.0, -11.60
-53.0, -7.24,-53.0, -13.11,-53.0, -10.91
-51.0, -7.85,-51.0, -11.70,-51.0, -10.04
-49.0, -6.57,-49.0, -10.91,-49.0, -9.52
-47.0, -6.75,-47.0, -10.87,-47.0, -8.65
-45.0, -6.30,-45.0, -10.09,-45.0, -8.03
-43.0, -5.51,-43.0, -9.51,-43.0, -7.55
-41.0, -5.41,-41.0, -8.57,-41.0, -7.21
-39.0, -5.21,-39.0, -7.93,-39.0, -6.66
-37.0, -4.54,-37.0, -7.50,-37.0, -6.43
-35.0, -3.60,-35.0, -6.92,-35.0, -6.04
-33.0, -3.00,-33.0, -5.98,-33.0, -5.53
-31.0, -2.65,-31.0, -5.32,-31.0, -5.05
-29.0, -2.05,-29.0, -4.33,-29.0, -4.50
-27.0, -2.24,-27.0, -4.30,-27.0, -4.27
-25.0, -1.97,-25.0, -3.76,-25.0, -3.58
-23.0, -1.75,-23.0, -3.29,-23.0, -3.12
-21.0, -1.39,-21.0, -2.50,-21.0, -2.67
-19.0, -1.04,-19.0, -2.20,-19.0, -2.28
-17.0, -1.14,-17.0, -2.03,-17.0, -1.92
-15.0, -1.02,-15.0, -1.72,-15.0, -1.54
-13.0, -0.60,-13.0, -1.45,-13.0, -1.27
-11.0, -0.61,-11.0, -1.32,-11.0, -0.94
-9.0, -0.30,-9.0, -0.98,-9.0, -0.64
-7.0, -0.25,-7.0, -0.93,-7.0, -0.47
-5.0, -0.35,-5.0, -0.42,-5.0, -0.31
-3.0, -0.26,-3.0, -0.37,-3.0, -0.18
-1.0, 0.00,-1.0, -0.52,-1.0, -0.07
1.0, -0.31,1.0, -0.50,1.0, 0.00
3.0, -0.47,3.0, -0.05,3.0, -0.01
5.0, -0.17,5.0, 0.00,5.0, 0.00
7.0, -0.33,7.0, -0.35,7.0, -0.04
9.0, -0.38,9.0, -0.34,9.0, -0.12
11.0, -0.26,11.0, -0.33,11.0, -0.19
13.0, -0.29,13.0, -0.13,13.0, -0.37
15.0, -0.46,15.0, -0.55,15.0, -0.45
17.0, -0.19,17.0, -0.76,17.0, -0.65
19.0, -0.46,19.0, -0.99,19.0, -0.94
21.0, -0.74,21.0, -1.21,21.0, -1.27
23.0, -0.45,23.0, -1.43,23.0, -1.66
25.0, -1.04,25.0, -2.01,25.0, -1.97
27.0, -0.89,27.0, -2.48,27.0, -2.23
29.0, -1.15,29.0, -2.99,29.0, -2.81
31.0, -1.80,31.0, -2.94,31.0, -3.22
33.0, -1.76,33.0, -3.68,33.0, -3.70
35.0, -2.16,35.0, -4.55,35.0, -3.98
37.0, -2.61,37.0, -5.26,37.0, -4.55
39.0, -3.16,39.0, -6.00,39.0, -4.95
41.0, -3.57,41.0, -6.67,41.0, -5.26
43.0, -4.20,43.0, -7.18,43.0, -5.71
45.0, -4.72,45.0, -7.67,45.0, -6.17
47.0, -5.14,47.0, -8.61,47.0, -6.79
49.0, -5.70,49.0, -8.28,49.0, -7.44
51.0, -6.17,51.0, -10.33,51.0, -8.25
53.0, -6.10,53.0, -10.36,53.0, -8.91
55.0, -6.78,55.0, -10.57,55.0, -9.61
57.0, -6.70,57.0, -10.89,57.0, -10.38
59.0, -7.50,59.0, -12.86,59.0, -10.60
61.0, -7.60,61.0, -14.38,61.0, -11.11
63.0, -8.06,63.0, -14.32,63.0, -11.58
65.0, -8.80,65.0, -13.66,65.0, -12.03
67.0, -8.99,67.0, -15.92,67.0, -12.24
69.0, -9.11,69.0, -18.05,69.0, -13.10
71.0, -10.49,71.0, -16.96,71.0, -13.82
73.0, -11.39,73.0, -19.04,73.0, -14.62
75.0, -13.38,75.0, -18.83,75.0, -14.90
77.0, -13.16,77.0, -20.29,77.0, -15.61
79.0, -14.14,79.0, -17.53,79.0, -15.59
81.0, -13.98,81.0, -20.11,81.0, -16.43
83.0, -12.99,83.0, -23.05,83.0, -17.72
85.0, -13.84,85.0, -23.44,85.0, -18.92
87.0, -13.96,87.0, -22.37,87.0, -18.50
89.0, -17.41,89.0, -21.53,89.0, -19.34
91.0, -14.99,91.0, -26.85,91.0, -19.06
93.0, -15.95,93.0, -21.34,93.0, -18.99
95.0, -15.01,95.0, -26.40,95.0, -18.77
97.0, -18.12,97.0, -21.08,97.0, -18.96
99.0, -15.74,99.0, -20.72,99.0, -19.66
101.0, -15.25,101.0, -21.03,101.0, -20.39
103.0, -16.03,103.0, -18.85,103.0, -21.39
105.0, -16.36,105.0, -26.13,105.0, -21.50
107.0, -16.73,107.0, -17.91,107.0, -22.02
109.0, -14.68,109.0, -21.62,109.0, -20.94
111.0, -15.23,111.0, -21.58,111.0, -20.38
113.0, -15.46,113.0, -22.00,113.0, -20.29
115.0, -17.30,115.0, -26.30,115.0, -20.43
117.0, -20.01,117.0, -19.00,117.0, -20.58
119.0, -17.26,119.0, -23.48,119.0, -20.71
121.0, -17.66,121.0, -26.02,121.0, -21.19
123.0, -18.95,123.0, -29.72,123.0, -21.07
125.0, -18.24,125.0, -27.47,125.0, -21.89
127.0, -15.51,127.0, -23.42,127.0, -20.95
129.0, -15.15,129.0, -23.40,129.0, -21.09
131.0, -17.13,131.0, -20.68,131.0, -21.07
133.0, -17.50,133.0, -22.50,133.0, -20.83
135.0, -17.47,135.0, -23.47,135.0, -19.56
