6.00GHz,,8.00GHz,,7.00GHz
-135.0, -22.09,-135.0, -32.69,-135.0, -30.92
-133.0, -23.07,-133.0, -32.69,-133.0, -32.27
-131.0, -21.51,-131.0, -34.41,-131.0, -30.56
-129.0, -22.36,-129.0, -37.27,-129.0, -28.68
-127.0, -25.56,-127.0, -44.26,-127.0, -30.30
-125.0, -24.37,-125.0, -38.72,-125.0, -32.03
-123.0, -23.34,-123.0, -38.79,-123.0, -35.26
-121.0, -18.31,-121.0, -36.96,-121.0, -35.31
-119.0, -21.68,-119.0, -32.59,-119.0, -42.03
-117.0, -20.72,-117.0, -30.86,-117.0, -34.73
-115.0, -24.11,-115.0, -31.40,-115.0, -32.52
-113.0, -23.32,-113.0, -29.91,-113.0, -28.87
-111.0, -23.17,-111.0, -29.89,-111.0, -27.78
-109.0, -18.98,-109.0, -32.85,-109.0, -27.99
-107.0, -25.53,-107.0, -31.79,-107.0, -28.04
-105.0, -23.09,-105.0, -32.52,-105.0, -28.28
-103.0, -26.96,-103.0, -39.08,-103.0, -30.20
-101.0, -21.08,-101.0, -40.25,-101.0, -32.66
-99.0, -27.43,-99.0, -41.98,-99.0, -34.28
-97.0, -26.55,-97.0, -33.00,-97.0, -35.12
-95.0, -25.07,-95.0, -32.20,-95.0, -34.02
-93.0, -26.22,-93.0, -30.76,-93.0, -33.12
-91.0, -29.19,-91.0, -29.58,-91.0, -31.33
-89.0, -24.93,-89.0, -30.85,-89.0, -28.59
-87.0, -24.61,-87.0, -32.12,-87.0, -26.86
-85.0, -23.79,-85.0, -31.86,-85.0, -26.25
-83.0, -25.28,-83.0, -32.92,-83.0, -24.79
-81.0, -24.65,-81.0, -31.48,-81.0, -25.49
-79.0, -24.12,-79.0, -33.82,-79.0, -24.73
-77.0, -23.67,-77.0, -31.59,-77.0, -25.37
-75.0, -24.39,-75.0, -32.73,-75.0, -27.48
-73.0, -23.02,-73.0, -30.01,-73.0, -28.58
-71.0, -24.07,-71.0, -29.00,-71.0, -30.78
-69.0, -24.15,-69.0, -27.38,-69.0, -29.57
-67.0, -21.87,-67.0, -24.74,-67.0, -27.94
-65.0, -18.44,-65.0, -24.01,-65.0, -26.82
-63.0, -19.42,-63.0, -23.38,-63.0, -25.52
-61.0, -22.18,-61.0, -23.37,-61.0, -25.36
-59.0, -22.13,-59.0, -23.97,-59.0, -25.37
-57.0, -20.61,-57.0, -22.87,-57.0, -24.86
-55.0, -20.73,-55.0, -22.62,-55.0, -25.33
-53.0, -18.93,-53.0, -22.69,-53.0, -24.18
-51.0, -19.18,-51.0, -22.85,-51.0, -24.09
-49.0, -16.92,-49.0, -22.30,-49.0, -23.82
-47.0, -17.40,-47.0, -21.29,-47.0, -22.86
-45.0, -16.55,-45.0, -20.73,-45.0, -21.70
-43.0, -14.91,-43.0, -18.82,-43.0, -20.95
-41.0, -12.51,-41.0, -19.72,-41.0, -20.11
-39.0, -10.80,-39.0, -18.17,-39.0, -18.00
-37.0, -10.98,-37.0, -16.86,-37.0, -17.01
-35.0, -10.35,-35.0, -15.83,-35.0, -15.81
-33.0, -7.95,-33.0, -14.06,-33.0, -14.25
-31.0, -7.02,-31.0, -12.79,-31.0, -12.61
-29.0, -6.07,-29.0, -11.02,-29.0, -10.87
-27.0, -6.02,-27.0, -10.17,-27.0, -9.97
-25.0, -4.61,-25.0, -8.69,-25.0, -8.31
-23.0, -3.68,-23.0, -7.48,-23.0, -7.16
-21.0, -3.88,-21.0, -6.42,-21.0, -5.98
-19.0, -3.07,-19.0, -5.50,-19.0, -4.99
-17.0, -2.60,-17.0, -4.62,-17.0, -4.12
-15.0, -2.34,-15.0, -4.03,-15.0, -3.55
-13.0, -2.22,-13.0, 0.00,-13.0, -2.65
-11.0, -1.52,-11.0, -2.25,-11.0, -1.85
-9.0, -0.75,-9.0, -1.68,-9.0, -1.31
-7.0, -0.87,-7.0, -1.16,-7.0, -0.86
-5.0, -0.45,-5.0, -0.78,-5.0, -0.55
-3.0, -0.08,-3.0, -0.54,-3.0, -0.27
-1.0, -0.19,-1.0, -0.40,-1.0, -0.08
1.0, 0.00,1.0, -0.34,1.0, 0.00
3.0, -0.18,3.0, -0.37,3.0, 0.00
5.0, -0.01,5.0, -0.49,5.0, -0.04
7.0, -0.07,7.0, -0.74,7.0, -0.19
9.0, -0.38,9.0, -1.03,9.0, -0.41
11.0, -0.57,11.0, -1.42,11.0, -0.66
13.0, -0.58,13.0, -2.07,13.0, -1.15
15.0, -1.13,15.0, -2.52,15.0, -1.49
17.0, -1.76,17.0, -3.21,17.0, -2.04
19.0, -2.13,19.0, -4.09,19.0, -2.78
21.0, -2.60,21.0, -5.15,21.0, -3.60
23.0, -2.59,23.0, -6.11,23.0, -4.50
25.0, -3.55,25.0, -7.11,25.0, -5.44
27.0, -3.28,27.0, -7.71,27.0, -6.20
29.0, -4.36,29.0, -9.02,29.0, -7.89
31.0, -4.89,31.0, -10.65,31.0, -9.14
33.0, -6.38,33.0, -11.81,33.0, -10.43
35.0, -6.03,35.0, -12.77,35.0, -11.53
37.0, -7.72,37.0, -14.41,37.0, -13.44
39.0, -9.42,39.0, -15.02,39.0, -14.77
41.0, -11.19,41.0, -18.41,41.0, -16.16
43.0, -11.85,43.0, -18.01,43.0, -17.23
45.0, -13.18,45.0, -17.82,45.0, -18.58
47.0, -14.76,47.0, -20.55,47.0, -19.31
49.0, -15.80,49.0, -20.44,49.0, -19.80
51.0, -16.89,51.0, -19.45,51.0, -19.99
53.0, -16.16,53.0, -19.90,53.0, -20.25
55.0, -16.47,55.0, -21.37,55.0, -20.49
57.0, -18.60,57.0, -21.86,57.0, -20.68
59.0, -17.62,59.0, -22.43,59.0, -21.09
61.0, -16.99,61.0, -21.85,61.0, -21.61
63.0, -19.66,63.0, -21.60,63.0, -22.33
65.0, -20.22,65.0, -22.95,65.0, -23.58
67.0, -22.80,67.0, -22.25,67.0, -24.73
69.0, -11.19,69.0, -23.23,69.0, -25.97
71.0, -22.91,71.0, -24.43,71.0, -29.15
73.0, -22.54,73.0, -24.63,73.0, -28.73
75.0, -28.38,75.0, -27.04,75.0, -27.87
77.0, -21.03,77.0, -28.40,77.0, -27.21
79.0, -24.47,79.0, -31.04,79.0, -26.55
81.0, -24.11,81.0, -39.94,81.0, -25.50
83.0, -21.53,83.0, -35.92,83.0, -24.78
85.0, -23.55,85.0, -31.32,85.0, -25.09
87.0, -27.02,87.0, -35.39,87.0, -25.38
89.0, -23.76,89.0, -28.59,89.0, -26.65
91.0, -26.12,91.0, -27.41,91.0, -27.99
93.0, -27.39,93.0, -27.13,93.0, -29.44
95.0, -26.63,95.0, -28.42,95.0, -29.78
97.0, -25.92,97.0, -26.89,97.0, -31.16
99.0, -16.04,99.0, -29.80,99.0, -34.32
101.0, -23.76,101.0, -30.84,101.0, -43.03
103.0, -24.13,103.0, -38.88,103.0, -45.58
105.0, -21.91,105.0, -49.47,105.0, -35.84
107.0, -21.63,107.0, -43.18,107.0, -34.93
109.0, -19.60,109.0, -38.56,109.0, -34.21
